situation_id,trajectory_id,distance,wind,precipitation,fuel,time,score
89,2,750.23,3.490769230769231,0.0,750.23,54.37,804.6
90,0,795.2,2.5286666666666666,0.174,795.2,58.17,853.37
90,1,977.65,5.923076923076923,0.03461538461538462,977.65,69.22,1046.87
90,2,966.8,3.696153846153846,0.0,966.8,69.93,1036.73
91,0,392.58,5.225333333333333,0.21,392.58,27.98,420.56
91,1,680.78,2.4476923076923076,0.04076923076923077,680.78,49.84,730.62
91,2,699.55,4.355384615384615,0.0,699.55,50.28,749.8299999999999
92,0,408.18,2.6293333333333333,0.032,408.18,29.83,438.01
92,1,608.53,2.6907692307692304,0.05,608.53,44.44,652.97
92,2,614.94,3.3861538461538463,0.025384615384615387,614.94,44.61,659.5500000000001
93,0,566.4,2.9819999999999998,0.16,566.4,41.25,607.65
93,1,762.05,2.0084615384615385,0.013846153846153845,762.05,56.03,818.0799999999999
93,2,784.65,4.0430769230769235,0.0,784.65,56.56,841.21
94,0,506.15,3.3826666666666667,0.0,506.15,36.72,542.87
94,1,772.79,3.463846153846154,0.00923076923076923,772.79,56.02,828.81
94,2,795.64,4.980769230769231,0.05538461538461538,795.64,56.84,852.48
95,0,239.38,4.068,0.24800000000000003,239.38,17.25,256.63
95,1,623.84,2.436153846153846,0.0,623.84,45.68,669.52
95,2,633.89,3.3115384615384613,0.00923076923076923,633.89,46.02,679.91
96,0,823.96,2.4146666666666667,0.0,823.96,60.34,884.3000000000001
96,1,830.06,2.5476923076923077,0.007692307692307693,830.06,60.71,890.77
96,2,835.5,2.9069230769230767,0.04923076923076923,835.5,60.89,896.39
97,0,243.13,3.4419999999999997,0.0,243.13,17.63,260.76
97,1,642.91,2.880769230769231,0.0,642.91,46.87,689.78
97,2,650.41,3.1076923076923078,0.011538461538461537,650.41,47.31,697.72
98,0,826.82,3.8773333333333335,0.0,826.82,59.7,886.5200000000001
98,1,904.03,4.436923076923077,0.0,904.03,64.92,968.9499999999999
98,2,900.55,3.8246153846153845,0.0,900.55,65.05,965.5999999999999
99,0,999.12,3.6719999999999997,0.008666666666666666,999.12,72.28,1071.4
99,1,1189.06,6.4,0.13692307692307693,1189.06,83.82,1272.8799999999999
99,2,1167.12,2.7423076923076923,0.0,1167.12,85.2,1252.32
100,0,452.26,5.652,0.13133333333333333,452.26,32.1,484.36
100,1,708.86,2.1353846153846154,0.0,708.86,52.05,760.91
100,2,729.09,4.056923076923077,0.013076923076923078,729.09,52.55,781.64
101,0,695.56,3.4186666666666667,0.0,695.56,50.44,746.0
101,1,759.89,4.15,0.0,759.89,54.72,814.61
101,2,758.48,3.866153846153846,0.0,758.48,54.77,813.25
102,0,352.83,2.716666666666667,0.028,352.83,25.76,378.59
102,1,602.95,2.379230769230769,0.05692307692307692,602.95,44.17,647.12
102,2,609.14,2.959230769230769,0.02076923076923077,609.14,44.37,653.51
103,0,690.62,3.6333333333333333,0.0,690.62,49.98,740.6
103,1,859.74,4.093846153846154,0.01846153846153846,859.74,61.94,921.6800000000001
103,2,868.2,3.8484615384615384,0.0,868.2,62.7,930.9000000000001
104,0,413.51,2.6473333333333335,0.008666666666666666,413.51,30.21,443.71999999999997
104,1,609.59,2.706153846153846,0.06769230769230769,609.59,44.51,654.1
104,2,616.18,3.436923076923077,0.01,616.18,44.68,660.8599999999999
105,0,546.69,2.7513333333333336,0.024666666666666667,546.69,39.9,586.59
105,1,597.23,2.883076923076923,0.0,597.23,43.54,640.77
105,2,607.21,4.454615384615384,0.0,607.21,43.6,650.8100000000001
107,0,1121.94,5.191999999999999,0.11866666666666667,1121.94,79.99,1201.93
107,1,1191.2,1.7976923076923077,0.0,1191.2,87.76,1278.96
107,2,1246.75,5.03923076923077,0.08153846153846155,1246.75,89.02,1335.77
108,0,5568.49,4.879333333333333,0.0,5568.49,398.21,5966.7
108,1,5520.89,4.153846153846154,0.0,5520.89,397.55,5918.4400000000005
108,2,5615.74,4.904615384615385,0.0,5615.74,401.49,6017.23
110,0,8367.48,4.335333333333334,0.03266666666666666,8367.48,601.48,8968.96
110,1,8368.07,4.463846153846154,0.04692307692307692,8368.07,600.79,8968.86
